demo_id,chassis,car_number,lap_number,actual_lap_time,predicted_lap_time,prediction_error,accx_can_mean,accx_can_std,accx_can_max,accy_can_mean,accy_can_std,accy_can_max,ath_mean,ath_std,ath_max,pbrake_r_mean,pbrake_r_std,pbrake_r_max,pbrake_f_mean,pbrake_f_std,pbrake_f_max,gear_mean,gear_std,gear_max,Steering_Angle_mean,Steering_Angle_std,Steering_Angle_max,nmot_mean,nmot_std,nmot_max,cornering_aggression,braking_intensity,throttle_consistency,track_length,track_corners,track_elevation,calculated_avg_speed_kmh,calculated_avg_speed_mps,calculated_top_speed_kmh,raw_accx_can_mean,raw_accy_can_mean,raw_ath_mean,raw_pbrake_f_mean,raw_pbrake_r_mean,raw_nmot_mean,raw_Steering_Angle_mean,raw_gear_mean,raw_cornering_gforce,raw_braking_gforce,raw_top_speed,raw_avg_speed,raw_rpm_peak,raw_throttle_usage,lap_efficiency,track,track_length_km,session_type,data_source,prediction_confidence
0,GR86-028,089,6,114.031,115.057846,-1.0268460693359316,0.004084786323971658,0.24410701752968447,0.42300000000000004,-0.07435567634813449,0.6256468205041891,1.452111111111111,57.95682355986076,33.58023936617271,100.11500000000001,6.963858329888944,12.761012798541078,73.70100000000001,6.4365512306675665,12.71512594946875,94.02499999999999,2.5406272665514806,0.8491124879571715,4.833333333333333,-11.01806903388615,32.36184911562037,62.64,5895.762817638266,786.7574289080974,7343.0,1.452111111111111,14.605709008120733,0.029778531670493585,4.05,12,50,127.85996790346485,35.51665775096246,153.43196148415782,0.004084786323971658,-0.07435567634813449,57.95682355986076,6.4365512306675665,6.963858329888944,5895.762817638266,-11.01806903388615,2.5406272665514806,1.452111111111111,-0.42300000000000004,153.43196148415782,127.85996790346485,7343.0,57.95682355986076,0.8333333333333333,sonoma,4.05,race,demo,0.95
1,GR86-013,080,5,117.999,118.353775,-0.3547750244140673,-0.008464248631172629,0.24420291680764245,0.42325,-0.0736449382972994,0.6123538367393853,1.4111428571428573,56.02296436177265,32.903128178281854,100.037,5.465853289732449,9.3226575810859,56.83833333333333,5.503480811859061,9.158160628014917,51.303,2.7053368029553058,0.8328506513306065,4.142857142857143,-9.706283428660425,31.385957172967906,58.48571428571429,5707.235477802859,893.9886534084857,7168.0,1.4111428571428573,9.320225059095652,0.03039132337990475,4.05,12,50,123.56036915567083,34.32232476546412,148.27244298680498,-0.008464248631172629,-0.0736449382972994,56.02296436177265,5.503480811859061,5.465853289732449,5707.235477802859,-9.706283428660425,2.7053368029553058,1.4111428571428573,-0.42325,148.27244298680498,123.56036915567083,7168.0,56.02296436177265,0.8333333333333335,sonoma,4.05,race,demo,0.95
2,GR86-028,089,5,115.376,115.197464,0.17853601074219227,0.004084786323971658,0.24410701752968447,0.42300000000000004,-0.07435567634813449,0.6256468205041891,1.452111111111111,57.95682355986076,33.58023936617271,100.11500000000001,6.963858329888944,12.761012798541078,73.70100000000001,6.4365512306675665,12.71512594946875,94.02499999999999,2.5406272665514806,0.8491124879571715,4.833333333333333,-11.01806903388615,32.36184911562037,62.64,5895.762817638266,786.7574289080974,7343.0,1.452111111111111,14.605709008120733,0.029778531670493585,4.05,12,50,126.36943558452364,35.10262099570101,151.64332270142836,0.004084786323971658,-0.07435567634813449,57.95682355986076,6.4365512306675665,6.963858329888944,5895.762817638266,-11.01806903388615,2.5406272665514806,1.452111111111111,-0.42300000000000004,151.64332270142836,126.36943558452364,7343.0,57.95682355986076,0.8333333333333334,sonoma,4.05,race,demo,0.95
3,GR86-050,050,11,114.433,114.20464,0.22835675048828818,-0.005736651135417476,0.21369667958323524,0.40775,-0.06662062442634505,0.6382853080934507,1.4991999999999999,53.69574150829465,34.87989758675787,100.03399999999999,4.236420369225455,8.084654012602611,50.197500000000005,4.327285966659067,8.12997527935922,52.593333333333334,2.715636859620778,0.7786469032661406,4.4,-4.800148863978373,38.53576077530302,84.93333333333334,5770.25766951942,906.9810411073805,7302.0,1.4991999999999999,12.151076370291046,0.02866898701539259,4.05,12,50,127.4107993323604,35.391888703433445,152.89295919883247,-0.005736651135417476,-0.06662062442634505,53.69574150829465,4.327285966659067,4.236420369225455,5770.25766951942,-4.800148863978373,2.715636859620778,1.4991999999999999,-0.40775,152.89295919883247,127.4107993323604,7302.0,53.69574150829465,0.8333333333333334,sonoma,4.05,race,demo,0.95
4,GR86-015,031,7,114.702,115.44342,-0.7414204101562518,0.021224070696023292,0.23783609049294277,0.39166666666666666,-0.06146638688637302,0.6295600388388833,1.4949,58.56623464554787,33.385854680730326,100.06,5.118304233392856,9.77842196134046,68.24428571428572,5.366314167844708,10.513075664878722,75.19166666666666,2.5151176409170515,0.8975567051088965,4.555555555555555,-10.33444876342793,31.769924128658484,74.72,5938.084712900821,686.8071416566327,7150.5,1.4949,14.009179324202021,0.029951908005792578,4.05,12,50,127.11199455981588,35.308887377726634,152.53439347177905,0.021224070696023292,-0.06146638688637302,58.56623464554787,5.366314167844708,5.118304233392856,5938.084712900821,-10.33444876342793,2.5151176409170515,1.4949,-0.39166666666666666,152.53439347177905,127.11199455981588,7150.5,58.56623464554787,0.8333333333333334,sonoma,4.05,race,demo,0.95
5,GR86-013,080,8,138.754,139.36063,-0.6066262207031343,-0.008464248631172629,0.24420291680764245,0.42325,-0.0736449382972994,0.6123538367393853,1.4111428571428573,56.02296436177265,32.903128178281854,100.037,5.465853289732449,9.3226575810859,56.83833333333333,5.503480811859061,9.158160628014917,51.303,2.7053368029553058,0.8328506513306065,4.142857142857143,-9.706283428660425,31.385957172967906,58.48571428571429,5707.235477802859,893.9886534084857,7168.0,1.4111428571428573,9.320225059095652,0.03039132337990475,4.05,12,50,105.07805180391198,29.18834772330888,126.09366216469436,-0.008464248631172629,-0.0736449382972994,56.02296436177265,5.503480811859061,5.465853289732449,5707.235477802859,-9.706283428660425,2.7053368029553058,1.4111428571428573,-0.42325,126.09366216469436,105.07805180391198,7168.0,56.02296436177265,0.8333333333333334,sonoma,4.05,race,demo,0.95
6,GR86-041,073,17,116.969,116.48275,0.48625006103515034,0.001986337989138178,0.24589620906027826,0.37333333333333335,-0.09443406505162173,0.6228291856365247,1.385142857142857,55.169682360198635,34.76130781067527,100.32,5.721228706452868,10.662050356461183,63.978333333333325,5.2814068552247155,9.796326688692176,90.38125,2.908957378239031,0.8080314650720011,5.0,-3.6429863078371953,32.9226874659381,76.75555555555555,5478.047178916109,1000.5398981101539,7275.5,1.385142857142857,17.1098615606645,0.028766789749583507,4.05,12,50,124.64841111747558,34.624558643743214,149.5780933409707,0.001986337989138178,-0.09443406505162173,55.169682360198635,5.2814068552247155,5.721228706452868,5478.047178916109,-3.6429863078371953,2.908957378239031,1.385142857142857,-0.37333333333333335,149.5780933409707,124.64841111747558,7275.5,55.169682360198635,0.8333333333333333,sonoma,4.05,race,demo,0.95
7,GR86-035,011,3,120.277,119.88078,0.3962169189453135,-0.013122483303305853,0.2386976180405803,0.33375,-0.07765104832933609,0.6208929575851904,1.38975,54.34016851917186,34.297881620672975,100.15,5.265615772344939,10.11073651909097,80.72272727272728,5.076495891752015,9.352573151046556,67.15125,2.741210840402153,0.8698062947713873,4.444444444444445,-7.728881290972327,32.29819833332072,79.17500000000001,5626.3565058479535,962.6985830511125,7294.0,1.38975,13.225269194029645,0.029155469588176594,4.05,12,50,121.22018340996202,33.67227316943389,145.46422009195442,-0.013122483303305853,-0.07765104832933609,54.34016851917186,5.076495891752015,5.265615772344939,5626.3565058479535,-7.728881290972327,2.741210840402153,1.38975,-0.33375,145.46422009195442,121.22018340996202,7294.0,54.34016851917186,0.8333333333333334,sonoma,4.05,race,demo,0.95
8,GR86-025,047,9,142.724,145.2346,-2.510603881835948,0.008296568279104704,0.23996186809896483,0.3483636363636364,-0.049302854966424614,0.6302377721636965,1.5224285714285715,57.205646516440474,33.975969423557544,100.03857142857143,5.485134895141827,9.677716757157249,55.88666666666666,4.912557667268431,8.792249771216177,56.692499999999995,2.653527464525616,0.8434127723620848,4.8,-4.402297779253716,29.92310765970608,77.91666666666667,5817.21497147246,841.5492836589725,7295.0,1.5224285714285715,11.537973875356338,0.02943170085401029,4.05,12,50,102.15520865446598,28.37644684846277,122.58625038535916,0.008296568279104704,-0.049302854966424614,57.205646516440474,4.912557667268431,5.485134895141827,5817.21497147246,-4.402297779253716,2.653527464525616,1.5224285714285715,-0.3483636363636364,122.58625038535916,102.15520865446598,7295.0,57.205646516440474,0.8333333333333334,sonoma,4.05,race,demo,0.95
9,GR86-047,021,6,117.909,117.49967,0.4093280639648498,0.00492201230685519,0.23843828580634183,0.3618181818181818,-0.08952336438290089,0.6158053152104789,1.454625,55.86902767358316,32.87614061476409,100.02555555555556,5.791520046545668,10.860802276848817,82.43,5.908493321975585,11.098611575070548,60.81444444444445,2.8645560196813324,0.872239193478147,5.0,-4.33560598640134,30.714625559450315,71.3875,5556.94534368071,1076.5214322497643,7297.0,1.454625,10.290974391712105,0.030416270432926017,4.05,12,50,123.6546828486375,34.348523013510416,148.385619418365,0.00492201230685519,-0.08952336438290089,55.86902767358316,5.908493321975585,5.791520046545668,5556.94534368071,-4.33560598640134,2.8645560196813324,1.454625,-0.3618181818181818,148.385619418365,123.6546828486375,7297.0,55.86902767358316,0.8333333333333334,sonoma,4.05,race,demo,0.95
